problem,number_of_steps,number_of_actions,number_of_agents,failed_actions_cardinality,clauses_num,variables_num,number_of_solutions,solution_index,solution_cardinality,sat_solving_mils
"deports11","50","56","7","1","27589","12612","1","0","1","239"
"deports11","50","56","7","1","27589","12612","1","0","1","94"
"deports11","50","56","7","1","27589","12612","1","0","1","82"
"deports11","50","56","7","1","27589","12612","1","0","1","77"
"deports11","50","56","7","1","27589","12612","1","0","1","75"
"deports11","50","56","7","1","27589","12612","1","0","1","70"
"deports11","50","56","7","1","27589","12612","2","0","1","111"
"deports11","50","56","7","1","27589","12612","1","0","1","63"
"deports11","50","56","7","1","27589","12612","1","0","1","85"
"deports11","50","56","7","1","27589","12612","1","0","1","85"
"deports11","50","56","7","1","27589","12612","1","0","1","67"
"deports11","50","56","7","1","27589","12612","2","1","1","132"
"deports11","50","56","7","1","27589","12612","1","0","1","73"
"deports11","50","56","7","1","27589","12612","1","0","1","68"
"deports11","50","56","7","1","27589","12612","1","0","1","70"
"deports11","50","56","7","1","27589","12612","1","0","1","60"
"deports11","50","56","7","1","27589","12612","1","0","1","60"
"deports11","50","56","7","1","27589","12612","1","0","1","72"
"deports11","50","56","7","1","27589","12612","1","0","1","76"
"deports11","50","56","7","1","27589","12612","1","0","1","65"
"deports19","36","44","7","1","19035","8753","1","0","1","57"
"deports19","36","44","7","1","19035","8753","1","0","1","42"
"deports19","36","44","7","1","19035","8753","1","0","1","48"
"deports19","36","44","7","1","19035","8753","1","0","1","49"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","59"
"deports19","36","44","7","1","19035","8753","1","0","1","39"
"deports19","36","44","7","1","19035","8753","1","0","1","51"
"deports19","36","44","7","1","19035","8753","2","1","1","100"
"deports19","36","44","7","1","19035","8753","1","0","1","47"
"deports19","36","44","7","1","19035","8753","1","0","1","63"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","58"
"deports19","36","44","7","1","19035","8753","1","0","1","45"
"deports19","36","44","7","1","19035","8753","1","0","1","68"
"deports19","36","44","7","1","19035","8753","1","0","1","52"
"deports19","36","44","7","1","19035","8753","1","0","1","48"
"deports19","36","44","7","1","19035","8753","1","0","1","50"
"deports19","36","44","7","1","19035","8753","1","0","1","49"
"deports19","36","44","7","1","19035","8753","1","0","1","64"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","2","0","1","11"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","2","1","1","9"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","2","0","1","10"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","2","1","1","14"
"elevator23","9","24","4","1","2932","802","1","0","1","9"
"elevator23","9","24","4","1","2932","802","1","0","1","7"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","5"
"elevator23","9","24","4","1","2932","802","2","0","1","12"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","5"
"elevator23","9","24","4","1","2932","802","1","0","1","7"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator23","9","24","4","1","2932","802","1","0","1","6"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","2","0","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","2","1","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","7"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator24","11","26","4","1","3641","1074","1","0","1","7"
"elevator24","11","26","4","1","3641","1074","2","0","1","12"
"elevator24","11","26","4","1","3641","1074","1","0","1","8"
"elevator24","11","26","4","1","3641","1074","1","0","1","9"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","2","0","1","20"
"elevator30","12","37","5","1","5268","1502","1","0","1","14"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","12"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","12"
"elevator30","12","37","5","1","5268","1502","1","0","1","14"
"elevator30","12","37","5","1","5268","1502","2","1","1","19"
"elevator30","12","37","5","1","5268","1502","2","1","1","20"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","10"
"elevator30","12","37","5","1","5268","1502","1","0","1","11"
"elevator30","12","37","5","1","5268","1502","1","0","1","13"
"deports11","50","56","7","2","27589","12612","1","0","2","131"
"deports11","50","56","7","2","27589","12612","1","0","2","122"
"deports11","50","56","7","2","27589","12612","1","0","2","133"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","143"
"deports11","50","56","7","2","27589","12612","2","0","2","190"
"deports11","50","56","7","2","27589","12612","1","0","2","129"
"deports11","50","56","7","2","27589","12612","1","0","2","129"
"deports11","50","56","7","2","27589","12612","1","0","2","140"
"deports11","50","56","7","2","27589","12612","2","1","2","228"
"deports11","50","56","7","2","27589","12612","1","0","2","137"
"deports11","50","56","7","2","27589","12612","2","0","2","188"
"deports11","50","56","7","2","27589","12612","1","0","2","136"
"deports11","50","56","7","2","27589","12612","1","0","2","126"
"deports11","50","56","7","2","27589","12612","1","0","2","145"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","124"
"deports11","50","56","7","2","27589","12612","1","0","2","141"
"deports11","50","56","7","2","27589","12612","2","1","2","206"
"deports11","50","56","7","2","27589","12612","1","0","2","150"
"deports19","36","44","7","2","19035","8753","1","0","2","106"
"deports19","36","44","7","2","19035","8753","1","0","2","91"
"deports19","36","44","7","2","19035","8753","1","0","2","97"
"deports19","36","44","7","2","19035","8753","1","0","2","99"
"deports19","36","44","7","2","19035","8753","1","0","2","85"
"deports19","36","44","7","2","19035","8753","1","0","2","78"
"deports19","36","44","7","2","19035","8753","1","0","2","93"
"deports19","36","44","7","2","19035","8753","1","0","2","104"
"deports19","36","44","7","2","19035","8753","1","0","2","95"
"deports19","36","44","7","2","19035","8753","1","0","2","107"
"deports19","36","44","7","2","19035","8753","1","0","2","97"
"deports19","36","44","7","2","19035","8753","1","0","2","100"
"deports19","36","44","7","2","19035","8753","1","0","2","104"
"deports19","36","44","7","2","19035","8753","1","0","2","102"
"deports19","36","44","7","2","19035","8753","1","0","2","83"
"deports19","36","44","7","2","19035","8753","1","0","2","93"
"deports19","36","44","7","2","19035","8753","1","0","2","91"
"deports19","36","44","7","2","19035","8753","1","0","2","94"
"deports19","36","44","7","2","19035","8753","1","0","2","103"
"deports19","36","44","7","2","19035","8753","1","0","2","103"
"elevator23","9","24","4","2","2932","802","1","0","2","12"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","13"
"elevator23","9","24","4","2","2932","802","2","0","2","18"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","18"
"elevator23","9","24","4","2","2932","802","2","1","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","12"
"elevator23","9","24","4","2","2932","802","2","0","2","24"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","16"
"elevator23","9","24","4","2","2932","802","2","1","2","16"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","2","0","2","18"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","0","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","13"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator23","9","24","4","2","2932","802","2","1","2","17"
"elevator23","9","24","4","2","2932","802","1","0","2","11"
"elevator24","11","26","4","2","3641","1074","1","0","2","15"
"elevator24","11","26","4","2","3641","1074","1","0","2","15"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","13"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
"elevator24","11","26","4","2","3641","1074","1","0","2","14"
