/problem,/number_of_steps,/number_of_actions,/number_of_agents,/failed_actions_cardinality,/clauses_num,/variables_num,/number_of_solutions,/solution_index,/solution_cardinality,/sat_solving_mils,/correct_solution_findind_mils,/first_solution_time_mils
"elevator1","10","16","3","1","2057","631","2","0","1","70","45","45"
"elevator1","10","16","3","1","2057","631","2","1","1","24","12","5"
"elevator1","10","16","3","1","2057","631","1","0","1","15","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","19","4","4"
"elevator1","10","16","3","1","2057","631","1","0","1","17","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","18","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","16","4","4"
"elevator1","10","16","3","1","2057","631","2","0","1","19","4","4"
"elevator1","10","16","3","1","2057","631","1","0","1","20","6","6"
"elevator1","10","16","3","1","2057","631","1","0","1","13","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","15","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","16","4","4"
"elevator1","10","16","3","1","2057","631","1","0","1","14","5","5"
"elevator1","10","16","3","1","2057","631","1","0","1","20","5","5"
"elevator1","10","16","3","1","2057","631","2","1","1","19","9","5"
"elevator1","10","16","3","1","2057","631","1","0","1","11","4","4"
"elevator2","6","9","2","1","1218","384","1","0","1","8","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","8","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","9","3","3"
"elevator2","6","9","2","1","1218","384","1","0","1","7","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","10","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","6","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","8","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","8","2","2"
"elevator2","6","9","2","1","1218","384","1","0","1","10","2","2"
"elevator3","11","18","2","1","2526","726","1","0","1","16","4","4"
"elevator3","11","18","2","1","2526","726","1","0","1","16","4","4"
"elevator3","11","18","2","1","2526","726","1","0","1","16","4","4"
"elevator3","11","18","2","1","2526","726","1","0","1","16","3","3"
"elevator3","11","18","2","1","2526","726","1","0","1","19","4","4"
"elevator3","11","18","2","1","2526","726","1","0","1","24","6","6"
"elevator3","11","18","2","1","2526","726","1","0","1","15","4","4"
"elevator3","11","18","2","1","2526","726","2","0","1","20","5","5"
"elevator3","11","18","2","1","2526","726","1","0","1","14","3","3"
